import time: self [us] | cumulative | imported package
import time:       452 |       3122 |                                   email.utils
import time:       354 |        354 |                                     email.header
import time:       231 |        584 |                                   email._policybase
import time:       195 |        195 |                                   email._encoded_words
import time:       136 |        136 |                                   email.iterators
import time:       756 |       5150 |                                 email.message
import time:       196 |        196 |                                   importlib.metadata._functools
import time:       242 |        437 |                                 importlib.metadata._text
import time:       547 |       6134 |                               importlib.metadata._adapters
import time:       386 |        386 |                               importlib.metadata._meta
import time:       236 |        236 |                               importlib.metadata._collections
import time:       129 |        129 |                               importlib.metadata._itertools
import time:       275 |        275 |                                     importlib.resources.abc
import time:       289 |        289 |                                     importlib.resources._adapters
import time:       347 |        910 |                                   importlib.resources._common
import time:       166 |        166 |                                   importlib.resources._legacy
import time:       198 |       1272 |                                 importlib.resources
import time:       296 |       1568 |                               importlib.abc
import time:      1751 |      15427 |                             importlib.metadata
import time:       526 |        526 |                                       torch._functorch
import time:       258 |        258 |                                           torch.utils._contextlib
import time:       301 |        559 |                                         torch.autograd.grad_mode
import time:       442 |       1001 |                                       torch.autograd.forward_ad
import time:       521 |       2048 |                                     torch._functorch.pyfunctorch
import time:       915 |       2963 |                                   torch._ops
import time:       638 |        638 |                                   torch._library.utils
import time:       769 |       4369 |                                 torch._library.autograd
import time:       357 |        357 |                                 torch._library.fake_impl
import time:       274 |        274 |                                   torch._library.effects
import time:       316 |        590 |                                 torch._library.simple_registry
import time:       735 |        735 |                                 torch._library.fake_class_registry
import time:       213 |        213 |                                   torch.utils._exposed_in
import time:       535 |        535 |                                   torch._library.custom_ops
import time:       183 |        183 |                                       torch._opaque_base
import time:       784 |        967 |                                     torch._library.opaque_object
import time:       596 |       1563 |                                   torch._library.infer_schema
import time:       483 |       2792 |                                 torch._library.triton
import time:       464 |       9304 |                               torch._library
import time:        26 |       9330 |                             torch._library.opaque_object
import time:      5308 |      30063 |                           torch.utils._pytree
import time:       324 |      30387 |                         torch._vmap_internals
import time:       450 |        450 |                         torch.autograd.functional
import time:       207 |        207 |                           torch.autograd.variable
import time:       685 |        891 |                         torch.autograd.graph
import time:       233 |        233 |                         torch.autograd.anomaly_mode
import time:       209 |        209 |                               torch._functorch.utils
import time:       376 |        376 |                                 torch._functorch.predispatch
import time:       321 |        696 |                               torch._functorch.vmap
import time:       250 |       1155 |                             torch._functorch.apis
import time:       850 |       2004 |                           torch._functorch.autograd_function
import time:       742 |       2746 |                         torch.autograd.function
import time:       356 |        356 |                             torch.testing._utils
import time:    305971 |     305971 |                               cmath
import time:      1614 |     307585 |                             torch.testing._comparison
import time:       717 |        717 |                             torch.testing._creation
import time:       356 |     309013 |                           torch.testing
import time:       847 |     309859 |                         torch.autograd.gradcheck
import time:      2834 |       2834 |                             _uuid
import time:      1083 |       3916 |                           uuid
import time:      1404 |       1404 |                           torch.autograd.profiler_util
import time:      1890 |       7210 |                         torch.autograd.profiler
import time:      4150 |     355923 |                       torch.autograd
import time:       544 |     356466 |                     torch.autograd.profiler_legacy
import time:       385 |     356851 |                   torch.distributed.rpc.server_process_global_profiler
import time:      1707 |     361875 |                 torch.distributed.rpc
import time:      1905 |       1905 |                             pickletools
import time:       536 |        536 |                             torch.package._digraph
import time:       716 |        716 |                             torch.package._importlib
import time:       275 |        275 |                             torch.package._mangling
import time:       557 |        557 |                               torch.package.importer
import time:       406 |        962 |                             torch.package._package_pickler
import time:       232 |        232 |                             torch.package._stdlib
import time:       368 |        368 |                             torch.package.find_file_dependencies
import time:       402 |        402 |                             torch.package.glob_group
import time:      1675 |       7068 |                           torch.package.package_exporter
import time:       479 |       7546 |                         torch.package.analyze.find_first_use_of_broken_modules
import time:       239 |        239 |                         torch.package.analyze.trace_dependencies
import time:       573 |       8357 |                       torch.package.analyze
import time:       216 |       8572 |                     torch.package.analyze.is_from_package
import time:       240 |        240 |                     torch.package.file_structure_representation
import time:       324 |        324 |                       torch.package._directory_reader
import time:       218 |        218 |                       torch.package._package_unpickler
import time:       744 |       1286 |                     torch.package.package_importer
import time:       608 |      10705 |                   torch.package
import time:        32 |      10736 |                 torch.package._mangling
import time:       607 |        607 |                 torch._awaits
import time:       967 |     374183 |               torch._jit_internal
import time:      2158 |       2158 |               torch._torch_docs
import time:       301 |        301 |               torch.nn._reduction
import time:       287 |        287 |                 torch.nn.modules.utils
import time:       303 |        589 |               torch.nn.grad
import time:      5783 |     383012 |             torch.nn.functional
import time:       675 |        675 |             torch.nn.init
import time:       523 |        523 |             torch.nn.modules.lazy
import time:       605 |     384814 |           torch.nn.modules.linear
import time:       967 |        967 |           torch.nn.modules.activation
import time:       692 |        692 |             torch.nn.modules.container
import time:       668 |       1359 |           torch.nn.modules.adaptive
import time:       401 |        401 |             torch.nn.modules._functions
import time:       609 |       1009 |           torch.nn.modules.batchnorm
import time:       312 |        312 |           torch.nn.modules.channelshuffle
import time:       790 |        790 |             torch.nn.common_types
import time:      1754 |       2544 |           torch.nn.modules.conv
import time:       383 |        383 |           torch.nn.modules.distance
import time:       281 |        281 |           torch.nn.modules.dropout
import time:       340 |        340 |           torch.nn.modules.flatten
import time:       215 |        215 |           torch.nn.modules.fold
import time:       428 |        428 |           torch.nn.modules.instancenorm
import time:     12143 |      12143 |           torch.nn.modules.loss
import time:       613 |        613 |           torch.nn.modules.normalization
import time:       601 |        601 |           torch.nn.modules.padding
import time:       338 |        338 |           torch.nn.modules.pixelshuffle
import time:       782 |        782 |           torch.nn.modules.pooling
import time:       200 |        200 |                     torch.__future__
import time:       455 |        655 |                   torch.nn.utils.parametrize
import time:       588 |       1242 |                 torch.nn.utils.parametrizations
import time:       567 |        567 |                 torch.nn.utils.rnn
import time:       315 |        315 |                   torch.nn.utils._named_member_accessor
import time:       309 |        624 |                 torch.nn.utils.stateless
import time:       288 |        288 |                   torch.utils._foreach_utils
import time:       462 |        750 |                 torch.nn.utils.clip_grad
import time:       266 |        266 |                 torch.nn.utils.convert_parameters
import time:       340 |        340 |                 torch.nn.utils.fusion
import time:       283 |        283 |                 torch.nn.utils.init
import time:       306 |        306 |                 torch.nn.utils.memory_format
import time:       369 |        369 |                 torch.nn.utils.spectral_norm
import time:       310 |        310 |                 torch.nn.utils.weight_norm
import time:       404 |       5457 |               torch.nn.utils
import time:        19 |       5476 |             torch.nn.utils.rnn
import time:      2117 |       7592 |           torch.nn.modules.rnn
import time:       579 |        579 |           torch.nn.modules.sparse
import time:       550 |        550 |           torch.nn.modules.transformer
import time:       369 |        369 |           torch.nn.modules.upsampling
import time:       735 |     479911 |         torch.nn.modules
import time:       399 |        399 |               torch.backends.cpu
import time:       404 |        404 |               torch.backends.cuda
import time:       371 |        371 |                 torch.backends.cudnn.rnn
import time:       347 |        717 |               torch.backends.cudnn
import time:       199 |        199 |               torch.backends.cusparselt
import time:       181 |        181 |               torch.backends.kleidiai
import time:       309 |        309 |               torch.backends.mha
import time:       257 |        257 |               torch.backends.miopen
import time:       132 |        132 |               torch.backends.mkl
import time:       287 |        287 |               torch.backends.mkldnn
import time:       762 |        762 |                 torch.library
import time:       255 |       1017 |               torch.backends.mps
import time:       246 |        246 |               torch.backends.nnpack
import time:       361 |        361 |               torch.backends.openmp
import time:        84 |         84 |                 opt_einsum
import time:       274 |        357 |               torch.backends.opt_einsum
import time:       397 |        397 |               torch.backends.quantized
import time:       639 |       5896 |             torch.backends
import time:        19 |       5915 |           torch.backends.cuda
import time:       403 |        403 |           torch.nn.attention._registry
import time:       609 |        609 |           torch.nn.attention._fa3
import time:       499 |        499 |           torch.nn.attention._fa4
import time:       371 |       7794 |         torch.nn.attention
import time:       238 |        238 |             torch.nn.parallel.parallel_apply
import time:       194 |        194 |                 torch.cuda.nccl
import time:       259 |        452 |               torch.nn.parallel.comm
import time:       316 |        768 |             torch.nn.parallel.replicate
import time:       293 |        293 |               torch.nn.parallel._functions
import time:       227 |        520 |             torch.nn.parallel.scatter_gather
import time:       481 |       2006 |           torch.nn.parallel.data_parallel
import time:       459 |        459 |                 torch.distributed.algorithms.join
